Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Ingreso Materia Prima Neta Terceros,2086552.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,2,2021,Blue Shell
Unidades por kilo mmpp terceros*,73.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,1244540.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,Blue Shell
Ingreso Materia Prima Neta Propia,1046435.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,3,2021,Blue Shell
Unidades por kilo mmpp propia*,72.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,3410900.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,3087413.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,3,2021,Blue Shell
Unidades por kilo mmpp terceros*,69.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,713210.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2021,Blue Shell
Ingreso Materia Prima Neta Propia,627628.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,4,2021,Blue Shell
Unidades por kilo mmpp propia*,72.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,3353630.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,2984611.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,4,2021,Blue Shell
Unidades por kilo mmpp terceros*,68.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2021,Blue Shell
