Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Ingreso Materia Prima Neta o Pagada Terceros,847.8,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Camanchaca
Ingreso Materia Bruta Prima Propia,3212516.7,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,3006442.7,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Camanchaca
Unidades por kilo mmpp propia*,68.82,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,825936,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,729847.5,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,4016020.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,Camanchaca
Unidades por kilo mmpp propia*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,1067163,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,943893,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,Camanchaca
Unidades por kilo mmpp terceros*,63,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,3536160.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Camanchaca
Unidades por kilo mmpp propia*,66.7,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,822848.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,727856.5,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Camanchaca
Unidades por kilo mmpp terceros*,59.04,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,3146167,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,Camanchaca
Unidades por kilo mmpp propia*,67.2,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,628575,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,549293.5,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,Camanchaca
Unidades por kilo mmpp terceros*,63.11,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2021,Camanchaca
Ingreso Materia Bruta Prima Propia,380358.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,332805.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,Manuelita
Unidades por kilo mmpp propia*,66.06006972378654,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,102404.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,88007.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,Manuelita
Unidades por kilo mmpp terceros*,41.39279715636108,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2021,Manuelita
Ingreso Materia Bruta Prima Propia,2116897.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1796674.9961606332,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Manuelita
Unidades por kilo mmpp propia*,77.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,1238044.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,1016327.447057631,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Manuelita
Unidades por kilo mmpp terceros*,53.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2021,Manuelita
Ingreso Materia Bruta Prima Propia,1964189.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2021,Manuelita
