Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,1,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.3,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,1,2021,Chonchi
Rendimiento Olla mmpp Terceros,,0.229,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,1,2021,Chonchi
Carne,50-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Carne,100-200 UNI/KG,3040,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Carne,200-300 UNI/KG,17570,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Carne,300-500 UNI/KG,59640,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Carne,500-1000 UNI/KG,7510,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Carne,INDUSTRIAL,3820,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Media Concha,40-60 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Media Concha,60-80 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Entero,NATURAL,365628.6,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Entero,CON SALSA,61094.78,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.194,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,8,2021,Chonchi
Rendimiento Olla mmpp Terceros,,0.187,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,8,2021,Chonchi
Carne,50-100 UNI/KG,1580,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Carne,100-200 UNI/KG,462170,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Carne,200-300 UNI/KG,596390,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Carne,300-500 UNI/KG,70540,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Carne,500-1000 UNI/KG,11790,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Carne,INDUSTRIAL,51270,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Media Concha,40-60 UNI/KG,3690,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Media Concha,60-80 UNI/KG,10809,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Media Concha,80-100 UNI/KG,972,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Entero,NATURAL,92503,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Entero,CON SALSA,86492,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,2,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.251,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,2,2021,Chonchi
