Cargo,Personal Planta Contrato Plazo Fijo,Personal Planta Contrato Plazo Indefinido,Mes,Año,Empresa
Operarios directos (producción),158,18,1,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",33,4,1,2021,Sudmaris
Jefes de Turno,0,2,1,2021,Sudmaris
Supervisores Producción,5,6,1,2021,Sudmaris
Supervisores Calidad,0,2,1,2021,Sudmaris
Monitores Calidad,9,4,1,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,13,1,2021,Sudmaris
Tesorero,1,1,1,2021,Sudmaris
Asistente Contabilidad,0,2,1,2021,Sudmaris
Jefe RRHH,0,1,1,2021,Sudmaris
Jefe de Adquisición,0,1,1,2021,Sudmaris
Prevención de Riesgo,1,2,1,2021,Sudmaris
Control de Gestión,0,2,1,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,1,25,1,2021,Sudmaris
Operarios directos (producción),0,0,2,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,2,2021,Sudmaris
Jefes de Turno,0,0,2,2021,Sudmaris
Supervisores Producción,0,0,2,2021,Sudmaris
Supervisores Calidad,0,0,2,2021,Sudmaris
Monitores Calidad,0,0,2,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,2,2021,Sudmaris
Tesorero,0,0,2,2021,Sudmaris
Asistente Contabilidad,0,0,2,2021,Sudmaris
Jefe RRHH,0,0,2,2021,Sudmaris
Jefe de Adquisición,0,0,2,2021,Sudmaris
Prevención de Riesgo,0,0,2,2021,Sudmaris
Control de Gestión,0,0,2,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,2,2021,Sudmaris
Operarios directos (producción),161,17,2,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",31,4,2,2021,Sudmaris
Jefes de Turno,0,2,2,2021,Sudmaris
Supervisores Producción,6,4,2,2021,Sudmaris
Supervisores Calidad,0,2,2,2021,Sudmaris
Monitores Calidad,9,4,2,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,13,2,2021,Sudmaris
Tesorero,1,1,2,2021,Sudmaris
Asistente Contabilidad,0,2,2,2021,Sudmaris
Jefe RRHH,0,1,2,2021,Sudmaris
Jefe de Adquisición,0,1,2,2021,Sudmaris
Prevención de Riesgo,1,2,2,2021,Sudmaris
Control de Gestión,0,2,2,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,3,23,2,2021,Sudmaris
Operarios directos (producción),0,0,3,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,3,2021,Sudmaris
Jefes de Turno,0,0,3,2021,Sudmaris
Supervisores Producción,0,0,3,2021,Sudmaris
Supervisores Calidad,0,0,3,2021,Sudmaris
Monitores Calidad,0,0,3,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,3,2021,Sudmaris
Tesorero,0,0,3,2021,Sudmaris
Asistente Contabilidad,0,0,3,2021,Sudmaris
Jefe RRHH,0,0,3,2021,Sudmaris
Jefe de Adquisición,0,0,3,2021,Sudmaris
Prevención de Riesgo,0,0,3,2021,Sudmaris
Control de Gestión,0,0,3,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,3,2021,Sudmaris
Operarios directos (producción),158,16,3,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",33,4,3,2021,Sudmaris
Jefes de Turno,0,2,3,2021,Sudmaris
Supervisores Producción,4,6,3,2021,Sudmaris
Supervisores Calidad,0,2,3,2021,Sudmaris
Monitores Calidad,4,9,3,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,13,3,2021,Sudmaris
Tesorero,0,2,3,2021,Sudmaris
Asistente Contabilidad,0,2,3,2021,Sudmaris
Jefe RRHH,0,1,3,2021,Sudmaris
Jefe de Adquisición,0,1,3,2021,Sudmaris
Prevención de Riesgo,1,2,3,2021,Sudmaris
Control de Gestión,0,2,3,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,4,29,3,2021,Sudmaris
Operarios directos (producción),0,0,4,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,4,2021,Sudmaris
Jefes de Turno,0,0,4,2021,Sudmaris
Supervisores Producción,0,0,4,2021,Sudmaris
Supervisores Calidad,0,0,4,2021,Sudmaris
Monitores Calidad,0,0,4,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,4,2021,Sudmaris
Tesorero,0,0,4,2021,Sudmaris
Asistente Contabilidad,0,0,4,2021,Sudmaris
Jefe RRHH,0,0,4,2021,Sudmaris
Jefe de Adquisición,0,0,4,2021,Sudmaris
Prevención de Riesgo,0,0,4,2021,Sudmaris
Control de Gestión,0,0,4,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,4,2021,Sudmaris
Operarios directos (producción),161,14,4,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",33,4,4,2021,Sudmaris
Jefes de Turno,0,2,4,2021,Sudmaris
Supervisores Producción,4,6,4,2021,Sudmaris
Supervisores Calidad,0,2,4,2021,Sudmaris
Monitores Calidad,10,4,4,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,13,4,2021,Sudmaris
Tesorero,1,1,4,2021,Sudmaris
Asistente Contabilidad,0,2,4,2021,Sudmaris
Jefe RRHH,0,1,4,2021,Sudmaris
Jefe de Adquisición,0,1,4,2021,Sudmaris
Prevención de Riesgo,1,2,4,2021,Sudmaris
Control de Gestión,0,2,4,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,5,23,4,2021,Sudmaris
Operarios directos (producción),0,0,5,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,5,2021,Sudmaris
Jefes de Turno,0,0,5,2021,Sudmaris
Supervisores Producción,0,0,5,2021,Sudmaris
Supervisores Calidad,0,0,5,2021,Sudmaris
Monitores Calidad,0,0,5,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,5,2021,Sudmaris
Tesorero,0,0,5,2021,Sudmaris
Asistente Contabilidad,0,0,5,2021,Sudmaris
Jefe RRHH,0,0,5,2021,Sudmaris
Jefe de Adquisición,0,0,5,2021,Sudmaris
Prevención de Riesgo,0,0,5,2021,Sudmaris
Control de Gestión,0,0,5,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,5,2021,Sudmaris
Operarios directos (producción),150,14,5,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",29,4,5,2021,Sudmaris
Jefes de Turno,0,2,5,2021,Sudmaris
Supervisores Producción,4,6,5,2021,Sudmaris
Supervisores Calidad,0,2,5,2021,Sudmaris
Monitores Calidad,10,4,5,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,13,5,2021,Sudmaris
Tesorero,1,1,5,2021,Sudmaris
Asistente Contabilidad,0,2,5,2021,Sudmaris
Jefe RRHH,0,1,5,2021,Sudmaris
Jefe de Adquisición,0,1,5,2021,Sudmaris
Prevención de Riesgo,1,2,5,2021,Sudmaris
Control de Gestión,0,2,5,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,3,28,5,2021,Sudmaris
Operarios directos (producción),0,0,6,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,6,2021,Sudmaris
Jefes de Turno,0,0,6,2021,Sudmaris
Supervisores Producción,0,0,6,2021,Sudmaris
Supervisores Calidad,0,0,6,2021,Sudmaris
Monitores Calidad,0,0,6,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,6,2021,Sudmaris
Tesorero,0,0,6,2021,Sudmaris
Asistente Contabilidad,0,0,6,2021,Sudmaris
Jefe RRHH,0,0,6,2021,Sudmaris
Jefe de Adquisición,0,0,6,2021,Sudmaris
Prevención de Riesgo,0,0,6,2021,Sudmaris
Control de Gestión,0,0,6,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,6,2021,Sudmaris
Operarios directos (producción),136,13,6,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",29,4,6,2021,Sudmaris
Jefes de Turno,0,2,6,2021,Sudmaris
Supervisores Producción,4,6,6,2021,Sudmaris
Supervisores Calidad,0,2,6,2021,Sudmaris
Monitores Calidad,8,4,6,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,12,6,2021,Sudmaris
Tesorero,0,2,6,2021,Sudmaris
Asistente Contabilidad,0,2,6,2021,Sudmaris
Jefe RRHH,0,1,6,2021,Sudmaris
Jefe de Adquisición,0,1,6,2021,Sudmaris
Prevención de Riesgo,1,2,6,2021,Sudmaris
Control de Gestión,0,2,6,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,2,26,6,2021,Sudmaris
Operarios directos (producción),0,0,7,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,7,2021,Sudmaris
Jefes de Turno,0,0,7,2021,Sudmaris
Supervisores Producción,0,0,7,2021,Sudmaris
Supervisores Calidad,0,0,7,2021,Sudmaris
Monitores Calidad,0,0,7,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,7,2021,Sudmaris
Tesorero,0,0,7,2021,Sudmaris
Asistente Contabilidad,0,0,7,2021,Sudmaris
Jefe RRHH,0,0,7,2021,Sudmaris
Jefe de Adquisición,0,0,7,2021,Sudmaris
Prevención de Riesgo,0,0,7,2021,Sudmaris
Control de Gestión,0,0,7,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,7,2021,Sudmaris
Operarios directos (producción),129,15,7,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",29,4,7,2021,Sudmaris
Jefes de Turno,0,2,7,2021,Sudmaris
Supervisores Producción,4,6,7,2021,Sudmaris
Supervisores Calidad,0,2,7,2021,Sudmaris
Monitores Calidad,8,4,7,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,13,7,2021,Sudmaris
Tesorero,0,2,7,2021,Sudmaris
Asistente Contabilidad,0,1,7,2021,Sudmaris
Jefe RRHH,0,1,7,2021,Sudmaris
Jefe de Adquisición,0,1,7,2021,Sudmaris
Prevención de Riesgo,1,2,7,2021,Sudmaris
Control de Gestión,0,2,7,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,2,30,7,2021,Sudmaris
Operarios directos (producción),0,0,8,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,8,2021,Sudmaris
Jefes de Turno,0,0,8,2021,Sudmaris
Supervisores Producción,0,0,8,2021,Sudmaris
Supervisores Calidad,0,0,8,2021,Sudmaris
Monitores Calidad,0,0,8,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,8,2021,Sudmaris
Tesorero,0,0,8,2021,Sudmaris
Asistente Contabilidad,0,0,8,2021,Sudmaris
Jefe RRHH,0,0,8,2021,Sudmaris
Jefe de Adquisición,0,0,8,2021,Sudmaris
Prevención de Riesgo,0,0,8,2021,Sudmaris
Control de Gestión,0,0,8,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,8,2021,Sudmaris
Operarios directos (producción),120,15,8,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",27,4,8,2021,Sudmaris
Jefes de Turno,0,2,8,2021,Sudmaris
Supervisores Producción,4,6,8,2021,Sudmaris
Supervisores Calidad,0,2,8,2021,Sudmaris
Monitores Calidad,8,4,8,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,13,8,2021,Sudmaris
Tesorero,0,1,8,2021,Sudmaris
Asistente Contabilidad,0,2,8,2021,Sudmaris
Jefe RRHH,0,1,8,2021,Sudmaris
Jefe de Adquisición,0,1,8,2021,Sudmaris
Prevención de Riesgo,1,2,8,2021,Sudmaris
Control de Gestión,0,2,8,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,3,28,8,2021,Sudmaris
Operarios directos (producción),0,0,9,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,9,2021,Sudmaris
Jefes de Turno,0,0,9,2021,Sudmaris
Supervisores Producción,0,0,9,2021,Sudmaris
Supervisores Calidad,0,0,9,2021,Sudmaris
Monitores Calidad,0,0,9,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,9,2021,Sudmaris
Tesorero,0,0,9,2021,Sudmaris
Asistente Contabilidad,0,0,9,2021,Sudmaris
Jefe RRHH,0,0,9,2021,Sudmaris
Jefe de Adquisición,0,0,9,2021,Sudmaris
Prevención de Riesgo,0,0,9,2021,Sudmaris
Control de Gestión,0,0,9,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,9,2021,Sudmaris
Operarios directos (producción),59,17,9,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",20,4,9,2021,Sudmaris
Jefes de Turno,0,2,9,2021,Sudmaris
Supervisores Producción,1,6,9,2021,Sudmaris
Supervisores Calidad,0,2,9,2021,Sudmaris
Monitores Calidad,0,7,9,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,13,9,2021,Sudmaris
Tesorero,0,1,9,2021,Sudmaris
Asistente Contabilidad,0,2,9,2021,Sudmaris
Jefe RRHH,0,1,9,2021,Sudmaris
Jefe de Adquisición,0,1,9,2021,Sudmaris
Prevención de Riesgo,1,2,9,2021,Sudmaris
Control de Gestión,0,2,9,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,2,30,9,2021,Sudmaris
Operarios directos (producción),0,0,10,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,10,2021,Sudmaris
Jefes de Turno,0,0,10,2021,Sudmaris
Supervisores Producción,0,0,10,2021,Sudmaris
Supervisores Calidad,0,0,10,2021,Sudmaris
Monitores Calidad,0,0,10,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,10,2021,Sudmaris
Tesorero,0,0,10,2021,Sudmaris
Asistente Contabilidad,0,0,10,2021,Sudmaris
Jefe RRHH,0,0,10,2021,Sudmaris
Jefe de Adquisición,0,0,10,2021,Sudmaris
Prevención de Riesgo,0,0,10,2021,Sudmaris
Control de Gestión,0,0,10,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,10,2021,Sudmaris
Operarios directos (producción),0,0,11,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,11,2021,Sudmaris
Jefes de Turno,0,0,11,2021,Sudmaris
Supervisores Producción,0,0,11,2021,Sudmaris
Supervisores Calidad,0,0,11,2021,Sudmaris
Monitores Calidad,0,0,11,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,11,2021,Sudmaris
Tesorero,0,0,11,2021,Sudmaris
Asistente Contabilidad,0,0,11,2021,Sudmaris
Jefe RRHH,0,0,11,2021,Sudmaris
Jefe de Adquisición,0,0,11,2021,Sudmaris
Prevención de Riesgo,0,0,11,2021,Sudmaris
Control de Gestión,0,0,11,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,11,2021,Sudmaris
Operarios directos (producción),0,0,12,2021,Sudmaris
"Operarios Indirectos (Frigorífico, Aseo, etc)",0,0,12,2021,Sudmaris
Jefes de Turno,0,0,12,2021,Sudmaris
Supervisores Producción,0,0,12,2021,Sudmaris
Supervisores Calidad,0,0,12,2021,Sudmaris
Monitores Calidad,0,0,12,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,0,0,12,2021,Sudmaris
Tesorero,0,0,12,2021,Sudmaris
Asistente Contabilidad,0,0,12,2021,Sudmaris
Jefe RRHH,0,0,12,2021,Sudmaris
Jefe de Adquisición,0,0,12,2021,Sudmaris
Prevención de Riesgo,0,0,12,2021,Sudmaris
Control de Gestión,0,0,12,2021,Sudmaris
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,12,2021,Sudmaris
Operadores Mantención y Administración Directo Planta (Contador,1,16.3333,1,2021,Blue Shell
Monitores Calidad,1,18,1,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,10.399999999999999,1,2021,Blue Shell
Supervisores Producción,2,31.659999999999997,1,2021,Blue Shell
Operarios directos (producción),88,123.6,1,2021,Blue Shell
Operadores Mantención y Administración Directo Planta (Contador,1,16.5333,2,2021,Blue Shell
Monitores Calidad,1,14.4,2,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,11.9,2,2021,Blue Shell
Supervisores Producción,2,31.659999999999997,2,2021,Blue Shell
Operarios directos (producción),88,120.60000000000002,2,2021,Blue Shell
Operadores Mantención y Administración Directo Planta (Contador,1,16.2333,3,2021,Blue Shell
Monitores Calidad,1,16.7,3,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,13.5,3,2021,Blue Shell
Supervisores Producción,2,32.5,3,2021,Blue Shell
Operarios directos (producción),88,124.39999999999998,3,2021,Blue Shell
Operadores Mantención y Administración Directo Planta (Contador,1,15.8,4,2021,Blue Shell
Monitores Calidad,1,16.5,4,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,13.5,4,2021,Blue Shell
Supervisores Producción,2,32.9,4,2021,Blue Shell
Operarios directos (producción),88,147.29999999999998,4,2021,Blue Shell
Operadores Mantención y Administración Directo Planta (Contador,1,17.37,5,2021,Blue Shell
Monitores Calidad,1,17.49,5,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,13.1,5,2021,Blue Shell
Supervisores Producción,2,30.439999999999998,5,2021,Blue Shell
Operarios directos (producción),88,135.8,5,2021,Blue Shell
Operadores Mantención y Administración Directo Planta (Contador,1,18,6,2021,Blue Shell
Monitores Calidad,1,16.63,6,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,12.5,6,2021,Blue Shell
Supervisores Producción,2,30,6,2021,Blue Shell
Operarios directos (producción),136,63.400000000000006,6,2021,Blue Shell
Operadores Mantención y Administración Directo Planta (Contador,1,17.599999999999998,7,2021,Blue Shell
Monitores Calidad,1,16.63,7,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,11.8,7,2021,Blue Shell
Supervisores Producción,2,32.199999999999996,7,2021,Blue Shell
Operarios directos (producción),136,50.599999999999994,7,2021,Blue Shell
Operadores Mantención y Administración Directo Planta (Contador,4,17.13,8,2021,Blue Shell
Monitores Calidad,2,15.939999999999998,8,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,12.1,8,2021,Blue Shell
Supervisores Producción,2,31.4,8,2021,Blue Shell
Operarios directos (producción),136,31.5,8,2021,Blue Shell
Operadores Mantención y Administración Directo Planta (Contador,4,21.83,9,2021,Blue Shell
Monitores Calidad,0,15.7,9,2021,Blue Shell
"Operarios Indirectos (Frigorífico, Aseo, etc)",3,4,9,2021,Blue Shell
Supervisores Producción,0,25.5,9,2021,Blue Shell
Operarios directos (producción),0,48.33,9,2021,Blue Shell
