Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Ingreso Materia Prima Bruta Terceros,3388375.0,,,6,2020,Blue Shell
rechazo propio,0.13239613190110097,,,6,2020,Blue Shell
rechazo terceros,0.10078931641273471,,,6,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1866550.0,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,,6,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1619426.0,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,,6,2020,Blue Shell
Unidades por kilo mmpp propia*,75.0,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,,6,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3388375.0,Total Kilos mmpp de centros de terceros ingresados a planta al mes,,6,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,3046863.0,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,,6,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.0,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,,6,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1866550.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1619426.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,6,2020,Blue Shell
Unidades por kilo mmpp propia*,75.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3388375.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,3046863.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,6,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,Blue Shell
Ingreso Materia Prima Neta Propia,,,,7,2020,Blue Shell
Unidades por kilo mmpp propia*,,,,7,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,,,,7,2020,Blue Shell
Unidades por kilo mmpp terceros*,,,,7,2020,Blue Shell
rechazo propio,,,,7,2020,Blue Shell
rechazo terceros,,,,7,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,2391040.0,,,7,2020,Blue Shell
Ingreso Materia Prima Neta Propia,2120126.0,,,7,2020,Blue Shell
