Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Unidades por kilo mmpp terceros*,57.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,3141820.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2323392.786,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2020,Sudmaris
Unidades por kilo mmpp propia*,82.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,551783.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,474334.75899999996,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2020,Sudmaris
Unidades por kilo mmpp terceros*,54.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,2423627.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,1772945.164,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2020,Sudmaris
Unidades por kilo mmpp propia*,80.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,1491168.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1361436.292,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2020,Sudmaris
Unidades por kilo mmpp terceros*,59.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,2127838.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,1521674.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2020,Sudmaris
Unidades por kilo mmpp propia*,77.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,2455502.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,2144650.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2020,Sudmaris
Unidades por kilo mmpp terceros*,61.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,1098364.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,787515.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,Sudmaris
Unidades por kilo mmpp propia*,87.22,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,3517523.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,3049709.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,Sudmaris
Unidades por kilo mmpp terceros*,62.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,0.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,0.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2020,Sudmaris
Unidades por kilo mmpp propia*,0.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2020,Sudmaris
