Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.239,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,4,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.228,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,4,2021,St Andrews
Carne,50-100 UNI/KG,9860,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,100-200 UNI/KG,76192,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,200-300 UNI/KG,456821.51,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,300-500 UNI/KG,694348,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,500-1000 UNI/KG,33410,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,INDUSTRIAL,39750,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Media Concha,60-80 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Media Concha,80-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Entero,NATURAL,203268,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.229,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.237,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,5,2021,St Andrews
Carne,50-100 UNI/KG,4620,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,100-200 UNI/KG,85610,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,200-300 UNI/KG,260570,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,300-500 UNI/KG,391210,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,500-1000 UNI/KG,24190,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,INDUSTRIAL,30970,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Media Concha,60-80 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Media Concha,80-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Entero,NATURAL,225805,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Entero,CON SALSA,40485,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.218,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,6,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.22,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,6,2021,St Andrews
Carne,50-100 UNI/KG,2920,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,100-200 UNI/KG,28910,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,200-300 UNI/KG,184370,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,300-500 UNI/KG,347580,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,500-1000 UNI/KG,26730,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,INDUSTRIAL,18090,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Media Concha,60-80 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Media Concha,80-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Entero,NATURAL,269525.7,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Entero,CON SALSA,32295,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.217,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,7,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.207,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,7,2021,St Andrews
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,100-200 UNI/KG,3040,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,200-300 UNI/KG,17570,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,300-500 UNI/KG,59640,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,500-1000 UNI/KG,7510,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,INDUSTRIAL,3820,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Media Concha,60-80 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Media Concha,80-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Entero,NATURAL,365628.6,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Entero,CON SALSA,61094.78,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.194,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,8,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.187,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,8,2021,St Andrews
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Carne,100-200 UNI/KG,1870,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Carne,200-300 UNI/KG,11010,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Carne,300-500 UNI/KG,34650,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Carne,500-1000 UNI/KG,4550,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Carne,INDUSTRIAL,2600,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Media Concha,60-80 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Media Concha,80-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Entero,NATURAL,156014.69,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Entero,CON SALSA,31454.6,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.182,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,9,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.18,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,9,2021,St Andrews
Carne,50-100 UNI/KG,7550,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,100-200 UNI/KG,364450,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
