Cargo,Personal Planta Contrato Plazo Fijo,Personal Planta Contrato Plazo Indefinido,Mes,Año,Empresa
Operarios directos (producción),270,3,1,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",35,2,1,2020,St Andrews
Jefes de Turno,0,2,1,2020,St Andrews
Supervisores Producción,8,2,1,2020,St Andrews
Supervisores Calidad,2,0,1,2020,St Andrews
Monitores Calidad,29,2,1,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,25,10,1,2020,St Andrews
Tesorero,0,0,1,2020,St Andrews
Asistente Contabilidad,1,1,1,2020,St Andrews
Jefe RRHH,0,1,1,2020,St Andrews
Jefe de Adquisición,0,1,1,2020,St Andrews
Prevención de Riesgo,0,1,1,2020,St Andrews
Control de Gestión,0,0,1,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,31,1,1,2020,St Andrews
Operarios directos (producción),232,3,2,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",59,1,2,2020,St Andrews
Jefes de Turno,0,2,2,2020,St Andrews
Supervisores Producción,6,3,2,2020,St Andrews
Supervisores Calidad,2,1,2,2020,St Andrews
Monitores Calidad,34,2,2,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,27,9,2,2020,St Andrews
Tesorero,0,0,2,2020,St Andrews
Asistente Contabilidad,0,2,2,2020,St Andrews
Jefe RRHH,0,1,2,2020,St Andrews
Jefe de Adquisición,0,1,2,2020,St Andrews
Prevención de Riesgo,0,1,2,2020,St Andrews
Control de Gestión,0,0,2,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,39,0,2,2020,St Andrews
Operarios directos (producción),238,3,3,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",44,2,3,2020,St Andrews
Jefes de Turno,0,2,3,2020,St Andrews
Supervisores Producción,10,2,3,2020,St Andrews
Supervisores Calidad,2,0,3,2020,St Andrews
Monitores Calidad,34,2,3,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,32,10,3,2020,St Andrews
Tesorero,0,0,3,2020,St Andrews
Asistente Contabilidad,1,1,3,2020,St Andrews
Jefe RRHH,0,1,3,2020,St Andrews
Jefe de Adquisición,0,1,3,2020,St Andrews
Prevención de Riesgo,0,1,3,2020,St Andrews
Control de Gestión,0,0,3,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,40,1,3,2020,St Andrews
Operarios directos (producción),188,3,4,2020,St Andrews
