Cargo,Personal Planta Contrato Plazo Fijo,Personal Planta Contrato Plazo Indefinido,Mes,Año,Empresa
"Operarios Indirectos (Frigorífico, Aseo, etc)",39,2,4,2020,St Andrews
Jefes de Turno,0,2,4,2020,St Andrews
Supervisores Producción,8,2,4,2020,St Andrews
Supervisores Calidad,2,0,4,2020,St Andrews
Monitores Calidad,16,2,4,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,25,10,4,2020,St Andrews
Tesorero,0,0,4,2020,St Andrews
Asistente Contabilidad,1,1,4,2020,St Andrews
Jefe RRHH,0,1,4,2020,St Andrews
Jefe de Adquisición,0,1,4,2020,St Andrews
Prevención de Riesgo,0,1,4,2020,St Andrews
Control de Gestión,0,0,4,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,44,1,4,2020,St Andrews
Operarios directos (producción),198,0,5,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,2,5,2020,St Andrews
Jefes de Turno,0,2,5,2020,St Andrews
Supervisores Producción,7,2,5,2020,St Andrews
Supervisores Calidad,2,0,5,2020,St Andrews
Monitores Calidad,17,2,5,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,25,10,5,2020,St Andrews
Tesorero,0,0,5,2020,St Andrews
Asistente Contabilidad,1,1,5,2020,St Andrews
Jefe RRHH,0,1,5,2020,St Andrews
Jefe de Adquisición,0,1,5,2020,St Andrews
Prevención de Riesgo,1,1,5,2020,St Andrews
Control de Gestión,0,0,5,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,43,1,5,2020,St Andrews
Operarios directos (producción),202,0,6,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",46,2,6,2020,St Andrews
Jefes de Turno,0,2,6,2020,St Andrews
Supervisores Producción,8,2,6,2020,St Andrews
Supervisores Calidad,1,0,6,2020,St Andrews
Monitores Calidad,16,2,6,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,25,10,6,2020,St Andrews
Tesorero,0,0,6,2020,St Andrews
Asistente Contabilidad,0,1,6,2020,St Andrews
Jefe RRHH,0,1,6,2020,St Andrews
Jefe de Adquisición,0,1,6,2020,St Andrews
Prevención de Riesgo,0,1,6,2020,St Andrews
Control de Gestión,0,0,6,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,46,1,6,2020,St Andrews
Operarios directos (producción),208,0,7,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",43,2,7,2020,St Andrews
Jefes de Turno,0,2,7,2020,St Andrews
Supervisores Producción,8,2,7,2020,St Andrews
Supervisores Calidad,1,0,7,2020,St Andrews
Monitores Calidad,18,2,7,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,25,10,7,2020,St Andrews
Tesorero,0,0,7,2020,St Andrews
Asistente Contabilidad,0,1,7,2020,St Andrews
Jefe RRHH,0,1,7,2020,St Andrews
Jefe de Adquisición,0,1,7,2020,St Andrews
Prevención de Riesgo,0,1,7,2020,St Andrews
Control de Gestión,0,0,7,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,46,1,7,2020,St Andrews
Operarios directos (producción),205,0,8,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",42,2,8,2020,St Andrews
Jefes de Turno,0,2,8,2020,St Andrews
Supervisores Producción,8,2,8,2020,St Andrews
Supervisores Calidad,1,0,8,2020,St Andrews
Monitores Calidad,16,2,8,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,26,10,8,2020,St Andrews
Tesorero,0,0,8,2020,St Andrews
Asistente Contabilidad,0,1,8,2020,St Andrews
Jefe RRHH,0,1,8,2020,St Andrews
Jefe de Adquisición,0,1,8,2020,St Andrews
Prevención de Riesgo,0,1,8,2020,St Andrews
Control de Gestión,0,0,8,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,46,1,8,2020,St Andrews
Operarios directos (producción),49,0,9,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",14,2,9,2020,St Andrews
Jefes de Turno,0,1,9,2020,St Andrews
Supervisores Producción,4,2,9,2020,St Andrews
Supervisores Calidad,1,0,9,2020,St Andrews
Monitores Calidad,5,2,9,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,15,10,9,2020,St Andrews
Tesorero,0,0,9,2020,St Andrews
Asistente Contabilidad,0,1,9,2020,St Andrews
Jefe RRHH,0,1,9,2020,St Andrews
Jefe de Adquisición,0,1,9,2020,St Andrews
Prevención de Riesgo,0,1,9,2020,St Andrews
Control de Gestión,0,0,9,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,27,1,9,2020,St Andrews
Operarios directos (producción),165,0,11,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",35,2,11,2020,St Andrews
Jefes de Turno,0,2,11,2020,St Andrews
Supervisores Producción,15,2,11,2020,St Andrews
Supervisores Calidad,3,0,11,2020,St Andrews
Monitores Calidad,16,2,11,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,36,10,11,2020,St Andrews
Tesorero,0,0,11,2020,St Andrews
Asistente Contabilidad,0,1,11,2020,St Andrews
Jefe RRHH,0,1,11,2020,St Andrews
Jefe de Adquisición,0,1,11,2020,St Andrews
Prevención de Riesgo,1,1,11,2020,St Andrews
Control de Gestión,0,0,11,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,28,1,11,2020,St Andrews
Operarios directos (producción),200,0,12,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",65,2,12,2020,St Andrews
Jefes de Turno,0,2,12,2020,St Andrews
Supervisores Producción,16,2,12,2020,St Andrews
Supervisores Calidad,3,0,12,2020,St Andrews
Monitores Calidad,25,2,12,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,26,10,12,2020,St Andrews
Tesorero,0,0,12,2020,St Andrews
Asistente Contabilidad,0,1,12,2020,St Andrews
Jefe RRHH,0,1,12,2020,St Andrews
Jefe de Adquisición,0,1,12,2020,St Andrews
Prevención de Riesgo,1,1,12,2020,St Andrews
Control de Gestión,0,0,12,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,28,1,12,2020,St Andrews
Operarios directos (producción),241,14,1,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",34,2,1,2020,St Andrews
Jefes de Turno,0,2,1,2020,St Andrews
Supervisores Producción,7,2,1,2020,St Andrews
Supervisores Calidad,1,1,1,2020,St Andrews
Monitores Calidad,17,3,1,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,14,13,1,2020,St Andrews
Jefe RRHH,0,1,1,2020,St Andrews
Jefe de Adquisición,0,1,1,2020,St Andrews
Prevención de Riesgo,0,1,1,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,43,1,1,2020,St Andrews
Operarios directos (producción),228,7,2,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",34,0,2,2020,St Andrews
Jefes de Turno,0,2,2,2020,St Andrews
Supervisores Producción,5,2,2,2020,St Andrews
Supervisores Calidad,1,1,2,2020,St Andrews
Monitores Calidad,18,2,2,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,9,12,2,2020,St Andrews
Prevención de Riesgo,0,1,2,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,51,0,2,2020,St Andrews
Operarios directos (producción),218,14,3,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",34,2,3,2020,St Andrews
Jefes de Turno,0,2,3,2020,St Andrews
Supervisores Producción,7,2,3,2020,St Andrews
Supervisores Calidad,1,1,3,2020,St Andrews
Monitores Calidad,19,3,3,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,14,13,3,2020,St Andrews
Jefe RRHH,0,1,3,2020,St Andrews
Jefe de Adquisición,0,1,3,2020,St Andrews
Prevención de Riesgo,0,1,3,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,38,1,3,2020,St Andrews
Operarios directos (producción),146,14,4,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",40,2,4,2020,St Andrews
Jefes de Turno,0,2,4,2020,St Andrews
Supervisores Producción,7,2,4,2020,St Andrews
Supervisores Calidad,1,1,4,2020,St Andrews
Monitores Calidad,14,3,4,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,16,13,4,2020,St Andrews
Jefe RRHH,0,1,4,2020,St Andrews
Jefe de Adquisición,0,1,4,2020,St Andrews
Prevención de Riesgo,0,1,4,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,39,1,4,2020,St Andrews
Operarios directos (producción),136,12,5,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",39,2,5,2020,St Andrews
Jefes de Turno,0,2,5,2020,St Andrews
Supervisores Producción,7,1,5,2020,St Andrews
Supervisores Calidad,1,1,5,2020,St Andrews
Monitores Calidad,13,3,5,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,40,13,5,2020,St Andrews
Jefe RRHH,0,1,5,2020,St Andrews
Jefe de Adquisición,0,1,5,2020,St Andrews
Prevención de Riesgo,0,1,5,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,25,1,5,2020,St Andrews
Operarios directos (producción),118,12,6,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",40,2,6,2020,St Andrews
Jefes de Turno,0,2,6,2020,St Andrews
Supervisores Producción,7,1,6,2020,St Andrews
Supervisores Calidad,1,1,6,2020,St Andrews
Monitores Calidad,13,3,6,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,40,13,6,2020,St Andrews
Jefe RRHH,0,1,6,2020,St Andrews
Jefe de Adquisición,0,1,6,2020,St Andrews
Prevención de Riesgo,0,1,6,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,18,1,6,2020,St Andrews
Operarios directos (producción),125,11,7,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",40,2,7,2020,St Andrews
Jefes de Turno,0,2,7,2020,St Andrews
Supervisores Producción,7,1,7,2020,St Andrews
Supervisores Calidad,1,1,7,2020,St Andrews
Monitores Calidad,11,2,7,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,40,13,7,2020,St Andrews
Jefe RRHH,0,1,7,2020,St Andrews
Jefe de Adquisición,0,1,7,2020,St Andrews
Prevención de Riesgo,0,1,7,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,17,1,7,2020,St Andrews
Operarios directos (producción),116,11,8,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",20,2,8,2020,St Andrews
Jefes de Turno,0,2,8,2020,St Andrews
Supervisores Producción,7,1,8,2020,St Andrews
Supervisores Calidad,1,1,8,2020,St Andrews
Monitores Calidad,11,2,8,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,40,13,8,2020,St Andrews
Jefe RRHH,0,1,8,2020,St Andrews
Jefe de Adquisición,0,1,8,2020,St Andrews
Prevención de Riesgo,0,1,8,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,17,1,8,2020,St Andrews
Operarios directos (producción),119,8,11,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",36,2,11,2020,St Andrews
Jefes de Turno,0,2,11,2020,St Andrews
Supervisores Producción,10,2,11,2020,St Andrews
Supervisores Calidad,1,1,11,2020,St Andrews
Monitores Calidad,11,2,11,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,24,13,11,2020,St Andrews
Jefe RRHH,0,1,11,2020,St Andrews
Jefe de Adquisición,0,1,11,2020,St Andrews
Prevención de Riesgo,0,1,11,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,17,1,11,2020,St Andrews
Operarios directos (producción),162,8,12,2020,St Andrews
"Operarios Indirectos (Frigorífico, Aseo, etc)",42,2,12,2020,St Andrews
Jefes de Turno,0,2,12,2020,St Andrews
Supervisores Producción,11,2,12,2020,St Andrews
Supervisores Calidad,1,1,12,2020,St Andrews
Monitores Calidad,15,2,12,2020,St Andrews
Operadores Mantención y Administración Directo Planta (Contador,28,13,12,2020,St Andrews
Jefe RRHH,0,1,12,2020,St Andrews
Jefe de Adquisición,0,1,12,2020,St Andrews
Prevención de Riesgo,0,1,12,2020,St Andrews
Otro cargo que su trabajo esté asociado directamente con Planta,17,1,12,2020,St Andrews
Operarios directos (producción),131,20,1,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",9,4,1,2020,Landes
Jefes de Turno,0,2,1,2020,Landes
Supervisores Producción,1,15,1,2020,Landes
Supervisores Calidad,0,2,1,2020,Landes
Monitores Calidad,10,2,1,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,15,1,2020,Landes
Tesorero,0,0,1,2020,Landes
Asistente Contabilidad,0,0,1,2020,Landes
Jefe RRHH,0,1,1,2020,Landes
Jefe de Adquisición,0,1,1,2020,Landes
Prevención de Riesgo,0,1,1,2020,Landes
Control de Gestión,0,1,1,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,1,2020,Landes
Operarios directos (producción),138,20,2,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",9,4,2,2020,Landes
Jefes de Turno,0,2,2,2020,Landes
Supervisores Producción,1,15,2,2020,Landes
Supervisores Calidad,0,2,2,2020,Landes
Monitores Calidad,10,2,2,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,15,2,2020,Landes
Tesorero,0,0,2,2020,Landes
Asistente Contabilidad,0,0,2,2020,Landes
Jefe RRHH,0,1,2,2020,Landes
Jefe de Adquisición,0,1,2,2020,Landes
Prevención de Riesgo,1,1,2,2020,Landes
Control de Gestión,1,1,2,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,2,2020,Landes
Operarios directos (producción),126,20,3,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",9,4,3,2020,Landes
Jefes de Turno,0,2,3,2020,Landes
Supervisores Producción,1,15,3,2020,Landes
Supervisores Calidad,0,2,3,2020,Landes
Monitores Calidad,10,2,3,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,15,3,2020,Landes
Tesorero,0,0,3,2020,Landes
Asistente Contabilidad,0,0,3,2020,Landes
Jefe RRHH,0,1,3,2020,Landes
Jefe de Adquisición,0,1,3,2020,Landes
Prevención de Riesgo,1,1,3,2020,Landes
Control de Gestión,1,1,3,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,3,2020,Landes
Operarios directos (producción),112,20,4,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",9,4,4,2020,Landes
Jefes de Turno,0,2,4,2020,Landes
Supervisores Producción,1,15,4,2020,Landes
Supervisores Calidad,0,2,4,2020,Landes
Monitores Calidad,8,2,4,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,16,4,2020,Landes
Tesorero,0,0,4,2020,Landes
Asistente Contabilidad,0,0,4,2020,Landes
Jefe RRHH,0,1,4,2020,Landes
Jefe de Adquisición,0,1,4,2020,Landes
Prevención de Riesgo,1,1,4,2020,Landes
Control de Gestión,1,1,4,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,4,2020,Landes
Operarios directos (producción),124,20,5,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",9,4,5,2020,Landes
Jefes de Turno,0,2,5,2020,Landes
Supervisores Producción,1,15,5,2020,Landes
Supervisores Calidad,0,3,5,2020,Landes
Monitores Calidad,8,2,5,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,16,5,2020,Landes
Tesorero,0,0,5,2020,Landes
Asistente Contabilidad,0,0,5,2020,Landes
Jefe RRHH,0,1,5,2020,Landes
Jefe de Adquisición,0,1,5,2020,Landes
Prevención de Riesgo,1,1,5,2020,Landes
Control de Gestión,0,1,5,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,5,2020,Landes
Operarios directos (producción),110,20,6,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",11,4,6,2020,Landes
Jefes de Turno,0,2,6,2020,Landes
Supervisores Producción,1,16,6,2020,Landes
Supervisores Calidad,0,4,6,2020,Landes
Monitores Calidad,8,2,6,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,16,6,2020,Landes
Tesorero,0,0,6,2020,Landes
Asistente Contabilidad,0,0,6,2020,Landes
Jefe RRHH,0,1,6,2020,Landes
Jefe de Adquisición,0,1,6,2020,Landes
Prevención de Riesgo,1,1,6,2020,Landes
Control de Gestión,0,1,6,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,2,6,2020,Landes
Operarios directos (producción),87,37,7,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",4,11,7,2020,Landes
Jefes de Turno,2,0,7,2020,Landes
Supervisores Producción,16,0,7,2020,Landes
Supervisores Calidad,0,3,7,2020,Landes
Monitores Calidad,8,7,7,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,16,0,7,2020,Landes
Tesorero,0,0,7,2020,Landes
Asistente Contabilidad,0,0,7,2020,Landes
Jefe RRHH,1,0,7,2020,Landes
Jefe de Adquisición,1,0,7,2020,Landes
Prevención de Riesgo,1,1,7,2020,Landes
Control de Gestión,1,0,7,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,2,0,7,2020,Landes
Operarios directos (producción),96,23,11,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",9,4,11,2020,Landes
Jefes de Turno,0,2,11,2020,Landes
Supervisores Producción,0,14,11,2020,Landes
Supervisores Calidad,0,2,11,2020,Landes
Monitores Calidad,5,8,11,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,24,11,2020,Landes
Tesorero,0,0,11,2020,Landes
Asistente Contabilidad,0,0,11,2020,Landes
Jefe RRHH,0,1,11,2020,Landes
Jefe de Adquisición,0,1,11,2020,Landes
Prevención de Riesgo,0,2,11,2020,Landes
Control de Gestión,0,1,11,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,2,11,2020,Landes
Operarios directos (producción),100,23,12,2020,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",10,4,12,2020,Landes
Jefes de Turno,0,2,12,2020,Landes
Supervisores Producción,0,14,12,2020,Landes
Supervisores Calidad,0,0,12,2020,Landes
Monitores Calidad,5,10,12,2020,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,24,12,2020,Landes
Tesorero,0,0,12,2020,Landes
Asistente Contabilidad,0,0,12,2020,Landes
Jefe RRHH,0,1,12,2020,Landes
Jefe de Adquisición,0,1,12,2020,Landes
Prevención de Riesgo,0,1,12,2020,Landes
Control de Gestión,0,1,12,2020,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,2,12,2020,Landes
Operarios directos (producción),180,2,1,2020,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",44,1,1,2020,Camanchaca
Jefes de Turno,0,4,1,2020,Camanchaca
Supervisores Producción,8,4,1,2020,Camanchaca
Supervisores Calidad,0,3,1,2020,Camanchaca
Monitores Calidad,22,2,1,2020,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,30,20,1,2020,Camanchaca
Tesorero,0,0,1,2020,Camanchaca
Asistente Contabilidad,0,1,1,2020,Camanchaca
Jefe RRHH,0,1,1,2020,Camanchaca
Jefe de Adquisición,0,0,1,2020,Camanchaca
Prevención de Riesgo,0,1,1,2020,Camanchaca
Control de Gestión,0,1,1,2020,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,1,2020,Camanchaca
Operarios directos (producción),184,0,2,2020,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",36,3,2,2020,Camanchaca
Jefes de Turno,0,4,2,2020,Camanchaca
Supervisores Producción,6,4,2,2020,Camanchaca
Supervisores Calidad,1,2,2,2020,Camanchaca
Monitores Calidad,23,0,2,2020,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,12,2,2020,Camanchaca
Tesorero,0,0,2,2020,Camanchaca
Asistente Contabilidad,0,1,2,2020,Camanchaca
Jefe RRHH,0,1,2,2020,Camanchaca
Jefe de Adquisición,0,1,2,2020,Camanchaca
Prevención de Riesgo,0,1,2,2020,Camanchaca
Control de Gestión,0,1,2,2020,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,3,2,2020,Camanchaca
Operarios directos (producción),196,2,3,2020,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",45,1,3,2020,Camanchaca
Jefes de Turno,0,4,3,2020,Camanchaca
Supervisores Producción,8,4,3,2020,Camanchaca
Supervisores Calidad,0,3,3,2020,Camanchaca
Monitores Calidad,25,2,3,2020,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,30,20,3,2020,Camanchaca
Tesorero,0,0,3,2020,Camanchaca
Asistente Contabilidad,0,1,3,2020,Camanchaca
Jefe RRHH,0,1,3,2020,Camanchaca
Jefe de Adquisición,0,0,3,2020,Camanchaca
Prevención de Riesgo,0,1,3,2020,Camanchaca
Control de Gestión,0,1,3,2020,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,3,2020,Camanchaca
Operarios directos (producción),77,2,4,2020,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",26,1,4,2020,Camanchaca
Jefes de Turno,0,4,4,2020,Camanchaca
Supervisores Producción,4,4,4,2020,Camanchaca
Supervisores Calidad,0,3,4,2020,Camanchaca
Monitores Calidad,9,0,4,2020,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,11,21,4,2020,Camanchaca
Tesorero,0,0,4,2020,Camanchaca
Asistente Contabilidad,0,1,4,2020,Camanchaca
Jefe RRHH,0,1,4,2020,Camanchaca
Jefe de Adquisición,0,0,4,2020,Camanchaca
Prevención de Riesgo,0,1,4,2020,Camanchaca
Control de Gestión,0,1,4,2020,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,4,2020,Camanchaca
Operarios directos (producción),185,3,5,2020,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",48,1,5,2020,Camanchaca
Jefes de Turno,0,4,5,2020,Camanchaca
Supervisores Producción,7,4,5,2020,Camanchaca
Supervisores Calidad,0,3,5,2020,Camanchaca
Monitores Calidad,23,1,5,2020,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,25,20,5,2020,Camanchaca
Tesorero,0,0,5,2020,Camanchaca
Asistente Contabilidad,0,1,5,2020,Camanchaca
Jefe RRHH,0,1,5,2020,Camanchaca
Jefe de Adquisición,0,0,5,2020,Camanchaca
Prevención de Riesgo,0,1,5,2020,Camanchaca
Control de Gestión,0,1,5,2020,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,5,2020,Camanchaca
Operarios directos (producción),203,3,6,2020,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",53,1,6,2020,Camanchaca
Jefes de Turno,0,4,6,2020,Camanchaca
Supervisores Producción,8,4,6,2020,Camanchaca
Supervisores Calidad,0,2,6,2020,Camanchaca
Monitores Calidad,23,0,6,2020,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,27,22,6,2020,Camanchaca
Tesorero,0,0,6,2020,Camanchaca
Asistente Contabilidad,0,1,6,2020,Camanchaca
Jefe RRHH,0,1,6,2020,Camanchaca
Jefe de Adquisición,0,0,6,2020,Camanchaca
Prevención de Riesgo,0,1,6,2020,Camanchaca
Control de Gestión,0,1,6,2020,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,6,2020,Camanchaca
Operarios directos (producción),201,7,7,2020,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",49,8,7,2020,Camanchaca
Jefes de Turno,0,4,7,2020,Camanchaca
Supervisores Producción,7,4,7,2020,Camanchaca
Supervisores Calidad,0,3,7,2020,Camanchaca
Monitores Calidad,26,1,7,2020,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,7,2020,Camanchaca
Tesorero,0,0,7,2020,Camanchaca
Asistente Contabilidad,0,1,7,2020,Camanchaca
Jefe RRHH,0,1,7,2020,Camanchaca
Jefe de Adquisición,0,0,7,2020,Camanchaca
Prevención de Riesgo,0,1,7,2020,Camanchaca
Control de Gestión,0,2,7,2020,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,7,2020,Camanchaca
Operarios directos (producción),252,7,11,2020,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",48,8,11,2020,Camanchaca
Jefes de Turno,0,4,11,2020,Camanchaca
Supervisores Producción,9,4,11,2020,Camanchaca
Supervisores Calidad,0,1,11,2020,Camanchaca
Monitores Calidad,27,1,11,2020,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,11,2020,Camanchaca
Tesorero,0,0,11,2020,Camanchaca
Asistente Contabilidad,0,1,11,2020,Camanchaca
Jefe RRHH,0,1,11,2020,Camanchaca
Jefe de Adquisición,0,0,11,2020,Camanchaca
Prevención de Riesgo,0,1,11,2020,Camanchaca
Control de Gestión,0,2,11,2020,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,11,2020,Camanchaca
Operarios directos (producción),266,9,12,2020,Camanchaca
