FECHA,PRODUCTO,EMPAQUE,CALIBRE,CANTIDAD,PRECIO CFR,TIPO VENTA,PAIS,EMPRESA,SEMANA,MES,AÑO,MERCADO,Mercados 2,Mercados Carne,Mercados Entero,PRODUCTO EQUIVALENTE,PRODUCTO_EMPAQUE,ALFA,BETA,PRECIO EQUIV.,P*Q,ANTIGIO
2021-05-05 00:00:00,CARNE,GRANEL,C100-200,18.82757096078713,1.4699609138214398,Spot,Rusia,Data Mussel,18,5,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4699609138214398,27.675793414556654,1.4699609138214398
2021-05-05 00:00:00,CARNE,GRANEL,C100-200,3765.5141921574264,1.494058633720152,Spot,Argentina,Data Mussel,18,5,2021,America,America,America,America,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,5625.898989188567,1.494058633720152
2021-05-06 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.4699609138214398,Spot,Rusia,Data Mussel,18,5,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4699609138214398,66421.90419493597,1.4699609138214398
2021-05-06 00:00:00,CARNE,GRANEL,C100-200,44433.06746745763,1.4651413698416973,Spot,Ucrania,Data Mussel,18,5,2021,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4651413698416973,65100.72533553943,1.4651413698416973
2021-05-06 00:00:00,ENTERO,CON SALSA,C22-36,753.1028384314853,1.2048859949356063,Spot,Ucrania,Data Mussel,18,5,2021,Uee,Otros uee,Uee,Otros uee,ENTERO CON SALSA,ENTEROCON SALSA,0.0,0.0,1.2048859949356063,907.4030627723494,1.2048859949356063
2021-05-10 00:00:00,ENTERO,SIN SALSA,C36-54,34019.914520465485,0.8917217936087307,Spot,Usa,Data Mussel,19,5,2021,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.8917217936087307,30336.299194605184,0.8917217936087307
2021-05-10 00:00:00,ENTERO,SIN SALSA,C20-40,36926.5149253918,1.0120939149970616,Spot,Rusia,Data Mussel,19,5,2021,Uee,Rusia,Uee,Rusia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.0120939149970616,37373.10105803722,1.0120939149970616
2021-05-11 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.4699609138214398,Spot,Rusia,Data Mussel,19,5,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4699609138214398,66421.90419493597,1.4699609138214398
2021-05-12 00:00:00,CARNE,GRANEL,C300-500,45186.170305889114,1.4217654740240155,Spot,Inglaterra,Data Mussel,19,5,2021,Europa,Otros europa,Otros europa,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4217654740240155,64244.13684428233,1.4217654740240155
2021-05-12 00:00:00,CARNE,GRANEL,C300-500,45186.170305889114,1.4217654740240155,Spot,Lituania,Data Mussel,19,5,2021,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4217654740240155,64244.13684428233,1.4217654740240155
2021-05-13 00:00:00,ENTERO,SIN SALSA,C20-40,41413.125085347376,1.0121042357459094,Spot,Argentina,Data Mussel,19,5,2021,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.0121042357459094,41914.39931435525,1.0121042357459094
2021-05-13 00:00:00,CARNE,GRANEL,C200-300,39914.45043686872,1.3976677541253033,Spot,Ucrania,Data Mussel,19,5,2021,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,55787.140299244034,1.3976677541253033
2021-05-13 00:00:00,ENTERO,SIN SALSA,C40-60,3388.962772941684,0.9639087959484851,Spot,Ucrania,Data Mussel,19,5,2021,Uee,Otros uee,Uee,Otros uee,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9639087959484851,3266.6510259804577,0.9639087959484851
